name,type,premium,coverage,riskLevel,provider
LIC Jeevan Labh,life,6500,500000,low,LIC
LIC New Endowment Plan,life,7200,600000,medium,LIC
LIC Jeevan Umang,life,8000,700000,high,LIC
HDFC Life Click 2 Protect,life,5500,1000000,low,HDFC Life
HDFC Life Sanchay Plus,life,9000,800000,medium,HDFC Life
ICICI Pru iProtect Smart,life,5000,1500000,low,ICICI Prudential
ICICI Pru Guaranteed Income,life,7500,600000,high,ICICI Prudential
Max Life Smart Secure Plus,life,4800,2000000,low,Max Life
Max Life Online Term Plan,life,5300,1200000,medium,Max Life
SBI Life eShield Next,life,5100,1000000,low,SBI Life
SBI Life Smart Platina Plus,life,8500,750000,high,SBI Life
Bajaj Allianz Life Smart Protect Goal,life,6000,900000,medium,Bajaj Allianz
Tata AIA Life Fortune Pro,life,7000,650000,high,Tata AIA
Kotak Life e-Term Plan,life,4500,2500000,low,Kotak Life
PNB MetLife Mera Term Plan,life,5200,1100000,medium,PNB MetLife
Star Health Comprehensive,health,4000,300000,low,Star Health
Star Health Family Health Optima,health,6500,500000,medium,Star Health
Star Health Senior Citizens Red Carpet,health,8000,400000,high,Star Health
Niva Bupa ReAssure 2.0,health,4500,300000,low,Niva Bupa
Niva Bupa Health Companion,health,5500,500000,medium,Niva Bupa
Niva Bupa GoActive,health,6000,600000,high,Niva Bupa
Care Health Supreme,health,4200,400000,low,Care Health
Care Health Advantage,health,5800,700000,medium,Care Health
Aditya Birla Activ Assure Diamond,health,4800,500000,low,Aditya Birla Health
Aditya Birla Activ Health Platinum,health,7000,1000000,high,Aditya Birla Health
Reliance Health Gain,health,3800,300000,low,Reliance Health
Reliance Health Infinity,health,5200,500000,medium,Reliance Health
HDFC ERGO Optima Restore,health,5000,500000,low,HDFC ERGO
HDFC ERGO My Health Suraksha,health,4200,400000,medium,HDFC ERGO
Bajaj Allianz Health Guard,health,4000,300000,low,Bajaj Allianz
Tata AIG Medicare Premier,health,6000,1000000,medium,Tata AIG
ManipalCigna ProHealth Plus,health,5500,600000,high,ManipalCigna
New India Assurance Mediclaim,health,3500,200000,low,New India Assurance
Oriental Insurance Happy Family Floater,health,4000,300000,medium,Oriental Insurance
United India UNI CritiCare,health,5000,500000,high,United India Insurance
ICICI Lombard Comprehensive Motor,car,3000,250000,low,ICICI Lombard
ICICI Lombard Private Car Package,car,3500,300000,medium,ICICI Lombard
HDFC ERGO Comprehensive Car,car,2800,200000,low,HDFC ERGO
HDFC ERGO Motor Floater,car,4000,400000,medium,HDFC ERGO
Bajaj Allianz Comprehensive Motor,car,3200,280000,high,Bajaj Allianz
Bajaj Allianz Own Damage Cover,car,2500,200000,low,Bajaj Allianz
Tata AIG AutoAssist Comprehensive,car,3100,260000,medium,Tata AIG
Tata AIG Private Car Insurance,car,3600,320000,high,Tata AIG
SBI General Comprehensive Motor,car,2900,220000,low,SBI General
SBI General Private Car Package,car,3800,350000,medium,SBI General
New India Assurance Package Policy,car,2700,200000,low,New India Assurance
United India Motor Package,car,2600,190000,low,United India Insurance
Oriental Insurance Private Car Comprehensive,car,3300,300000,medium,Oriental Insurance
National Insurance Private Car Package,car,3000,250000,high,National Insurance
Future Generali Total Protect,car,2800,220000,low,Future Generali
HDFC ERGO Home Shield,home,1800,600000,low,HDFC ERGO
HDFC ERGO My Home Insurance,home,2500,1000000,medium,HDFC ERGO
ICICI Lombard Home Insurance,home,2200,800000,low,ICICI Lombard
Bajaj Allianz Home Insurance,home,2000,750000,medium,Bajaj Allianz
Tata AIG Home Protect,home,2800,1200000,high,Tata AIG
SBI General Long Term Home,home,1600,500000,low,SBI General
New India House Holders Policy,home,1500,400000,low,New India Assurance
Oriental Insurance Home Insurance,home,1700,550000,medium,Oriental Insurance
United India House Insurance,home,1400,400000,low,United India Insurance
National Insurance House Holders,home,1600,500000,medium,National Insurance
Reliance Home Insurance,home,1900,650000,high,Reliance General
Future Generali Home Suraksha,home,2100,700000,medium,Future Generali
Digit Home Insurance,home,1300,400000,low,Digit Insurance
SBI General Globe Travel,travel,900,150000,low,SBI General
Tata AIG Travel Guard,travel,1100,200000,low,Tata AIG
Bajaj Allianz Travel Elite,travel,1300,250000,medium,Bajaj Allianz
HDFC ERGO Travel Wallet,travel,1500,300000,medium,HDFC ERGO
ICICI Lombard International Travel,travel,1700,500000,high,ICICI Lombard
Reliance Travel Care,travel,1000,175000,low,Reliance General
Future Generali Travel Secure,travel,1200,200000,medium,Future Generali
Oriental Insurance Overseas Mediclaim,travel,2000,700000,high,Oriental Insurance
New India Assurance Overseas Medi,travel,1800,600000,medium,New India Assurance
Universal Sompo Travel Insurance,travel,1100,200000,low,Universal Sompo
